"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Cul2",127.653308987407,-4.79773105892405,0.720442478905004,1.02873411982812e-12,9.12982435037536e-11,"down"
"gene-ND-13A",3996.88977429076,2.89176219085481,0.42403920544577,1.03488883126253e-12,9.12982435037536e-11,"up"
"gene-RpL13",45423.3278786462,2.41117952307688,0.354116776436664,1.05795587025987e-12,9.25489126840774e-11,"up"
"gene-ALiX",1525.11212120342,-3.49037398390542,0.514416031983947,1.08159598429425e-12,9.38284516375266e-11,"down"
"gene-LOC142976875",4558.87718771778,2.35629968258467,0.344664781219982,1.25843185250718e-12,1.08266740368593e-10,"up"
"gene-Wnk",1071.72894347888,-4.53143162035308,0.67454629945074,1.27895832406739e-12,1.09130788143783e-10,"down"
"gene-msn",1548.84172369309,-2.26436473410398,0.331643165038686,1.29821038031928e-12,1.09872927309949e-10,"down"
"gene-blp",1296.02252857119,2.68558277065798,0.39465082979641,1.38697713548636e-12,1.16438967583976e-10,"up"
"gene-LOC142976389",379.263728688371,-4.37543974261646,0.652537337506519,1.42328922499863e-12,1.18531526657886e-10,"down"
"gene-Glob1",5906.17634378298,3.371662421683,0.500949405585901,1.60303713021457e-12,1.32441400996299e-10,"up"
"gene-LOC142975163",144.466032189433,-2.47377647843708,0.364438245759249,1.76037931092811e-12,1.44295658478438e-10,"down"
"gene-LOC142987721",14045.8008218633,3.07403933500592,0.456448540777493,1.80340308815213e-12,1.46667391778622e-10,"up"
"gene-kug",216.974478066109,-5.04614136549764,0.764954282373096,1.8946937503142e-12,1.50563068250159e-10,"down"
"gene-Isha",310.425817226988,-3.55097730379722,0.531203443592676,1.88524159076514e-12,1.50563068250159e-10,"down"
"gene-LOC142972324",512.368211379934,2.01342857976012,0.295302354889587,1.88052637391059e-12,1.50563068250159e-10,"up"
"gene-LOC142980057",11214.2463016583,2.95030355970418,0.437554735208801,2.07322716990823e-12,1.63502233626853e-10,"up"
"gene-LOC142980280",307.618566448664,1.71263285173694,0.250644540345434,2.25288467593646e-12,1.76334808093974e-10,"up"
"gene-RpS15A",28283.5352909447,2.87445112960535,0.429547442889152,2.38015243992886e-12,1.84905872385518e-10,"up"
"gene-LOC142980570",118.355370512955,-3.80509026230671,0.575261647649797,2.57777020730106e-12,1.97313146014736e-10,"down"
"gene-LOC142980365",849.909569537124,3.3916087423077,0.509432967516938,2.5726443028399e-12,1.97313146014736e-10,"up"
"gene-nej",200.599728684693,-4.16123621627245,0.626682876416011,2.64758428102492e-12,2.01177754492478e-10,"down"
"gene-LOC142975301",188.78525091031,-3.54151747499563,0.533052085115203,2.67280703742713e-12,2.01622617823308e-10,"down"
"gene-LOC142975468",1306.22310671937,2.50883148197924,0.374066613714867,2.88710908385748e-12,2.16221622755082e-10,"up"
"gene-poe",2191.89035025477,-3.91638453560004,0.590938186835755,2.95059317498821e-12,2.19397678225909e-10,"down"
"gene-LOC142980727",132.056945352886,-3.49271557576201,0.525180330384165,3.0961118304903e-12,2.26338718256641e-10,"down"
"gene-LOC142978054",958.262470237477,-2.8287757948364,0.424696619934279,3.13091022372298e-12,2.26338718256641e-10,"down"
"gene-EMC4",2223.78885161129,2.53625303700209,0.379283406024503,3.07222447272027e-12,2.26338718256641e-10,"up"
"gene-arm",1521.47507549092,-2.21198547119621,0.329269854927961,3.1182191208387e-12,2.26338718256641e-10,"down"
"gene-LOC142975900",196.777010615654,-3.49727862309529,0.528957518914257,3.50556955334013e-12,2.51675717588074e-10,"down"
"gene-LOC142982894",3785.74181483222,2.67869538195875,0.402964901524067,3.95557803003384e-12,2.82038132141454e-10,"up"
