"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-mRpS18C",353.893859958794,3.0091794959781,0.430784809575513,3.0964606611077e-13,2.90397797136317e-11,"up"
"gene-LOC142977913",4550.74285183687,2.98791831877103,0.427449987368745,3.13241799051626e-13,2.91147065011377e-11,"up"
"gene-LOC142983254",2501.25188235847,3.44255163809796,0.496264527853572,3.7132747356574e-13,3.42081327417642e-11,"up"
"gene-RpS11",30777.6469155581,2.79152869938608,0.401259700539261,3.93412504605088e-13,3.5924773446833e-11,"up"
"gene-LOC142976063",304.026414054245,0.372613807653733,1.12176069678631,4.0858135351481e-13,3.69854946964275e-11,"up"
"gene-sun",13682.2753153146,5.05882395423916,0.736930113262024,4.21003367068096e-13,3.77814228549904e-11,"up"
"gene-Srp19",1259.45013581005,2.39193902073786,0.342389668666647,4.40371796836823e-13,3.9181798333943e-11,"up"
"gene-ATPsynF",17145.2405504844,4.53993317508433,0.662173458420046,4.92776302199088e-13,4.34728924228178e-11,"up"
"gene-ND-B15",3717.15587289334,4.00280152422187,0.585658616166575,6.40987753571133e-13,5.60729623081975e-11,"up"
"gene-jar",4412.20691955642,-3.06167207930262,0.445947467664879,6.47850905142445e-13,5.62010660211071e-11,"down"
"gene-Vps15",275.69694318382,-4.23308648386489,0.62175990405411,6.63280257637056e-13,5.67365422556718e-11,"down"
"gene-LOC142980234",4130.57521526601,4.20466989304601,0.615728662317916,6.64923934216326e-13,5.67365422556718e-11,"up"
"gene-mRpL40",735.564204830016,2.88269612047028,0.420929409522035,6.73589672936828e-13,5.7008686953434e-11,"up"
"gene-Mmp1",2303.7653505667,-4.50515101625734,0.662252774974664,6.90901719392527e-13,5.80023137006146e-11,"down"
"gene-LOC142972324",512.368211379934,2.05153250205839,0.29498742281878,6.97807980217518e-13,5.81134485925149e-11,"up"
"gene-Hcf",476.295361174722,-2.27314745628812,0.328481869946142,7.41683425997506e-13,6.12771782907463e-11,"down"
"gene-SNRPG",819.636837864612,2.82650935285586,0.412079936394549,8.38874343967685e-13,6.876127496617e-11,"up"
"gene-LOC142982543",331.188782402046,-4.73967441828566,0.702923084171337,9.14416314576957e-13,7.43677643339541e-11,"down"
"gene-lqf",1357.55659045498,-5.10664567056915,0.761444963357081,1.14228859004481e-12,9.21800327315226e-11,"down"
"gene-LOC142978054",958.262470237477,-2.88560004485464,0.424097325275441,1.22009749961815e-12,9.77016536232691e-11,"down"
"gene-mxt",652.601601816769,-2.74685908486093,0.404161101619054,1.35324275896919e-12,1.07536313899766e-10,"down"
"gene-mago",1506.06121069523,2.83803624988648,0.418365835667369,1.40196294851651e-12,1.10563896167097e-10,"up"
"gene-Usp20-33",968.11716327513,-3.74396344107135,0.557019089151513,1.43284888457521e-12,1.12150051792691e-10,"down"
"gene-LOC142980365",849.909569537124,3.428907851141,0.509283315141073,1.51868313851161e-12,1.17981279641088e-10,"up"
