gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-LOC142976389,356.93897260139914,-4.3911000622709055,0.6126839773515367,-7.562829122176968,3.9439557787073805e-14,4.4728840703629145e-12,down
gene-Dorsal,454.8323894985822,-3.212016148835433,0.4464842749980838,-7.544993948010946,4.523085041994591e-14,5.0733108817185476e-12,down
gene-LOC142979131,30357.67676709649,-4.632246134937493,0.6520300165113139,-7.531864809706099,5.0020733521894874e-14,5.549582902804139e-12,down
gene-RpS17,43965.72073273145,2.850218538790087,0.3970110405837201,7.519905628075866,5.481579467621898e-14,6.016180820001797e-12,up
gene-nocte,1193.2144294461464,-3.4040037246110786,0.4759958892841077,-7.516167551573891,5.640525760755231e-14,6.124770897875388e-12,down
gene-slpr,174.33645672681894,-3.662838084330748,0.5107893371613362,-7.486303629397042,7.084040584522898e-14,7.611242341707917e-12,down
gene-LOC142979247,967.3013988909516,-2.693083903361315,0.3753033436635636,-7.482019463143495,7.31891029914023e-14,7.781678898262952e-12,down
gene-LOC142979662,401.98349600387695,3.2357473971353867,0.4544079741214185,7.468684950931148,8.100020918102663e-14,8.523393145471533e-12,up
gene-poe,2037.138045821404,-3.8562074756684814,0.5457063317142733,-7.454015929599803,9.05410590816055e-14,9.430128469856606e-12,down
gene-Abl,178.90048851759047,-3.704921544515455,0.5220927126454954,-7.43774644615783,1.0241739633516507e-13,1.0559337014071008e-11,down
gene-LOC142987321,3618.980724178126,2.829059703927621,0.3974973025187158,7.436255302551393,1.0357956423358477e-13,1.0572366121321997e-11,up
gene-tai,665.3948610606924,-3.230389462298539,0.4578763889166711,-7.418299756558482,1.1863336563441092e-13,1.1989017455746849e-11,down
gene-RpS15,29725.010063017908,2.3891715808281884,0.3350053883496865,7.415054480280265,1.2157482020123061e-13,1.2047710580523892e-11,up
gene-Glob1,5674.696841570066,3.332016175374012,0.4720571029977912,7.416138358592381,1.205845298386595e-13,1.2047710580523892e-11,up
gene-SNRPG,784.9126500777271,2.6318901369876726,0.3702155634873235,7.409741622542752,1.2654571885873596e-13,1.2419732234529979e-11,up
gene-Pfdn2,1930.722621468791,2.401874216176145,0.3365972616532454,7.40679982728515,1.2938352609118756e-13,1.252011759667394e-11,up
gene-blp,1263.778099740353,2.6590783591998823,0.3743657575738224,7.406146908075287,1.300217953607757e-13,1.252011759667394e-11,up
gene-bc10,1375.692317162113,3.093498075679972,0.4383880316397606,7.397359081904418,1.3891952814308822e-13,1.3209702630685704e-11,up
gene-C3G,349.5259438463009,-3.1645773180331185,0.4488651126119548,-7.396546838611481,1.3977151798903262e-13,1.3209702630685704e-11,down
gene-LOC142983258,396.2052509770706,-3.7690404464559366,0.5386851942703115,-7.392595603774673,1.4398989751849541e-13,1.3483531045608095e-11,down
gene-LOC142973585,3422.1826830484374,2.804301266251368,0.3966848233995325,7.387791831541502,1.4928721847530273e-13,1.3852496717976499e-11,up
gene-Upf1,508.6279594087207,-3.384727147248879,0.4835598449313243,-7.374127159536933,1.654252400181137e-13,1.5211670494278256e-11,down
gene-LOC142976875,4434.565011853765,2.334425910019742,0.3288079240062079,7.371152030124732,1.6915979880243661e-13,1.5416197021218487e-11,up
gene-LOC142975900,194.53150937559133,-3.4922874095896845,0.4980256736338162,-7.369963899715746,1.70674247579866e-13,1.541656677033356e-11,down
gene-l(2)gl,4807.652296546244,-3.766929684762083,0.5401443783791324,-7.368263351379983,1.7286505272506047e-13,1.5477487659339402e-11,down
gene-ND-ACP,8263.531486161772,3.189993384064584,0.4548662518698591,7.363105192641698,1.7968066623279746e-13,1.5947830958592727e-11,up
gene-Hipk,934.0584589836084,-2.3227782983920107,0.328420003001812,-7.349403867988437,1.990927809925736e-13,1.751844841026895e-11,down
gene-RpS27A,34022.633314461884,2.395668272305359,0.3397251989587137,7.34479286163978,2.0607799503998298e-13,1.7978103379257318e-11,up
gene-ND-ASHI,6779.675830280685,3.3152405963554146,0.4751742490267919,7.337090043363399,2.182877605272908e-13,1.888189128561065e-11,up
gene-LOC142984570,4027.267846499499,2.5036014232346715,0.3565058374237146,7.315966992060682,2.5553447532401345e-13,2.191798646749752e-11,up
gene-LOC142972148,5861.540031102434,3.7423591509976575,0.5407350344195536,7.308727669150007,2.6968370634092725e-13,2.2938846588515373e-11,up
gene-LOC142975301,182.80878685009432,-3.525332611875289,0.5144671102174202,-7.231078204463309,4.791742988159712e-13,4.0420926181938976e-11,down
gene-LOC142974754,1015.8469931765104,2.5864491334435225,0.3738475006118975,7.223123086735998,5.080698728730602e-13,4.2507124527994456e-11,up
gene-yps,21044.17340998029,2.0349599295683123,0.291600323846197,7.217608873543991,5.290963209526938e-13,4.390639144686296e-11,up
gene-RpL24,38934.182349592906,2.632290167218015,0.3820277151124538,7.207928103096506,5.68096095071288e-13,4.676255518058578e-11,up
gene-Acadvl,706.3935024954593,-2.944195515336108,0.429470207990392,-7.198255268235139,6.098788894948563e-13,4.980027060059199e-11,down
gene-awd,18375.46002881164,1.531470115513139,0.2177898566349314,7.196256669699719,6.18880807617605e-13,5.013425716946741e-11,up
gene-LOC142987721,13930.717714981996,3.1069654182141866,0.4547116079148399,7.186420966560121,6.651176126019724e-13,5.345555489628607e-11,up
