sample,label,cycle,stage,mean_phred
ID-8,Benzamidine_R3,16,before,39.5943
ID-8,Benzamidine_R3,17,before,39.5921
ID-8,Benzamidine_R3,18,before,39.6489
ID-8,Benzamidine_R3,19,before,39.6409
ID-8,Benzamidine_R3,20,before,39.6404
ID-8,Benzamidine_R3,21,before,39.5891
ID-8,Benzamidine_R3,22,before,39.61
ID-8,Benzamidine_R3,23,before,39.6003
ID-8,Benzamidine_R3,24,before,39.6735
ID-8,Benzamidine_R3,25,before,39.6634
ID-8,Benzamidine_R3,26,before,39.6715
ID-8,Benzamidine_R3,27,before,39.623
ID-8,Benzamidine_R3,28,before,39.5825
