	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-asl	473	303	632	314	141	70	117	53	56	137	63	66	207
gene-AsnRS	2081	778	828	2089	216	651	873	267	1041	435	1241	1246	1040
gene-AsnRS-m	104	50	44	104	38	59	166	55	206	114	316	251	86
gene-AsnS	320	379	293	1097	54	170	141	134	427	91	333	313	521
gene-asp	98	145	92	71	128	120	162	193	206	234	232	226	135
gene-Asph	170	150	375	124	239	415	60	38	122	23	37	34	23740
gene-ASPP	13	27	56	12	71	142	11	2	8	5	9	0	1934
gene-aspr	11	6	2	49	0	179	72	47	245	202	184	144	3114
gene-AspRS	1805	945	1157	3666	603	1381	1726	666	995	903	908	1026	2047
gene-AspRS-m	76	41	54	122	27	32	267	26	194	80	263	199	84
gene-Ass	476	38	16	7	42	15	22	11	265	7	614	24	248
gene-ast	77	98	165	159	55	73	174	88	104	192	70	103	180
gene-AST-A	309	8	147	373	11	96	356	361	302	294	205	259	15
gene-AST-C	364	475	433	164	452	100	703	433	284	320	144	143	4
gene-AstA-R1	47	61	86	68	39	0	51	48	46	126	51	62	13
gene-asun	287	122	191	398	144	119	177	59	156	156	69	145	636
gene-Asx	329	264	445	272	115	81	164	81	100	175	113	119	383
gene-Atac1	116	137	151	162	97	54	283	226	185	121	240	230	152
gene-Atac2	165	139	187	178	62	88	124	74	49	53	40	33	208
gene-Atac3	125	168	319	134	176	85	33	12	14	23	9	26	223
gene-Ate1	148	295	188	156	215	49	119	17	29	54	68	79	127
gene-Atet	3688	6606	5803	1197	1332	129	118	870	634	206	179	93	2116
gene-Atf-2	93	71	87	119	86	99	167	92	118	92	251	106	143
gene-Atf3	436	82	125	367	6	142	103	32	40	32	9	20	255
gene-Atf6	587	640	1424	778	261	127	366	195	213	310	195	339	425
gene-Atg1	1224	2022	3734	1576	2069	324	125	71	35	98	70	92	1821
gene-Atg10	17	14	8	9	11	14	15	17	12	10	7	7	22
gene-Atg101	1812	4679	8798	1319	6924	451	893	495	311	529	396	536	2517
gene-Atg12	608	1005	1811	498	787	200	723	564	473	471	553	696	272
gene-Atg14	652	472	1046	492	925	75	334	146	211	266	110	158	204
gene-Atg16	457	379	876	281	215	179	148	77	118	58	53	53	314
gene-Atg17	1196	1734	3483	800	3139	270	198	158	85	167	71	146	1183
gene-Atg3	858	561	959	442	198	210	481	246	318	282	213	223	516
gene-Atg4a	1387	2300	4179	902	1403	288	1487	821	859	541	399	843	2733
gene-Atg4b	461	417	484	269	114	2	321	273	315	335	346	458	141
gene-Atg5	535	677	925	340	433	136	811	587	795	476	523	766	118
gene-Atg6	854	772	1034	458	316	48	831	653	389	296	426	755	267
gene-Atg7	349	159	188	347	123	172	174	138	312	213	320	250	623
gene-Atg8	13972	24892	27081	12791	10986	2482	40347	62789	39800	32566	14909	29615	8721
gene-Atg9	474	1381	1720	271	1272	70	72	119	30	77	88	91	664
gene-ath	237	129	374	254	195	30	84	25	40	40	66	61	275
gene-atk	4	4	2	11	0	0	0	0	2	1	5	0	1
gene-atl	1489	2670	4761	1217	2550	740	602	345	312	432	448	428	6478
gene-atms	783	627	427	1569	432	478	550	364	479	350	234	410	1087
gene-atos	298	564	1061	257	479	517	136	22	41	144	113	83	2135
gene-Atox1	2073	2126	3065	1543	1720	1389	5651	5243	7712	5962	9301	10104	1201
gene-ATP7	1040	250	204	600	138	467	162	87	96	154	197	154	367
gene-ATP8A	634	441	1513	895	217	374	88	43	21	73	60	62	779
gene-ATP8B	1224	390	503	1768	675	894	48	42	68	71	132	179	2094
gene-Atpalpha	1711	499	160	420	488	1031	37	10	52	104	306	103	3206
gene-ATPCL	239	251	278	394	104	612	56	74	166	1143	1554	417	737
gene-Atpsyn-beta	10151	4611	4159	18353	4632	19179	5848	2460	6192	5382	8212	4224	48076
gene-ATPsynB	4793	1778	1574	4847	2299	12393	12855	5535	25423	16793	25218	13768	10925
gene-ATPsynC	9900	4448	4886	20387	4657	25846	6737	2797	10335	13821	16612	7554	41431
gene-ATPsynCF6	2785	1308	1614	3234	2347	7991	8576	6563	23383	16689	25334	14411	6450
gene-ATPsynD	4721	2244	2157	7732	2267	10183	7291	3408	16557	18463	30563	14151	16393
gene-ATPsyndelta	2584	1174	1049	4013	1597	7289	5596	2287	10110	7708	12097	5472	7885
gene-ATPsynE	2272	1289	1251	3332	1468	8130	12010	6922	32989	23075	48006	24357	7570
gene-ATPsynF	3167	1507	1348	4505	2142	9001	15788	9168	38356	29525	46948	29589	9202
gene-ATPsynG	2523	1597	1612	3263	1966	9982	13467	9468	33613	23595	48988	26155	6319
gene-ATPsynO	2340	1177	1184	4309	1451	7865	6851	3227	16115	14461	31165	13240	9726
gene-Atu	448	217	373	330	51	134	118	91	69	57	45	66	510
gene-Atx-1	219	64	34	166	0	39	22	3	7	0	0	5	216
gene-aub	809	319	382	538	109	131	228	94	128	141	96	170	1618
gene-aurB	16	21	23	25	1	0	18	1	14	12	26	29	58
gene-aus	40	24	46	14	4	32	1	4	1	6	10	4	267
gene-aux	637	375	569	640	301	142	240	169	217	290	329	284	868
gene-ave	548	600	598	465	278	124	912	777	909	545	628	1297	111
gene-Aven	148	91	149	163	40	97	150	73	148	237	218	222	99
gene-awd	11876	11543	12144	20060	14265	12673	22134	17620	25876	23887	21310	20286	39249
gene-Awh	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-axed	426	179	1091	75	321	14	26	19	21	11	18	11	1086
gene-Axn	136	54	180	148	171	97	21	4	32	53	85	43	627
gene-axo	0	3	20	1	0	0	0	0	1	0	0	0	137
gene-Axud1	700	276	394	576	261	398	414	222	198	439	286	345	1390
