pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF01753.25,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
PF00122.26,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
PF00170.27,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
PF28033.1,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
PF00622.37,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
PF00135.35,77,3,1.8507078507078507,0.23078110081889658,0.3565828287088966
PF07714.24,193,6,1.4678177952451517,0.23754507758592866,0.3642948764470772
PF00009.34,43,2,2.224428805552878,0.23690582789671263,0.3642948764470772
PF01826.24,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF24048.2,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF13246.13,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF00171.28,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF13245.13,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF07716.21,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF16681.12,13,1,3.7946194225721785,0.24674893643442983,0.36877750136200244
PF12763.14,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF01151.24,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00061.30,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00104.36,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF22785.2,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF03098.21,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00090.26,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00105.25,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00293.35,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF03144.32,14,1,3.5024227740763174,0.2629992766382555,0.3792726410467474
PF00063.28,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF02752.28,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF23952.2,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF23760.2,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF20146.5,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF00107.33,15,1,3.251968503937008,0.27890038370799447,0.3939108512164458
PF23598.2,49,2,1.9394500042048608,0.28504913238580715,0.4012164157896121
PF11838.15,16,1,3.0349081364829398,0.2944597340341462,0.4088613198920071
PF00209.25,16,1,3.0349081364829398,0.2944597340341462,0.4088613198920071
PF00339.35,16,1,3.0349081364829398,0.2944597340341462,0.4088613198920071
PF00328.28,16,1,3.0349081364829398,0.2944597340341462,0.4088613198920071
PF00027.36,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF07647.25,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF17900.7,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF00013.36,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF13604.13,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF00173.34,17,1,2.84498031496063,0.30968464457161715,0.4200672901615005
PF00650.26,52,2,1.8226086956521739,0.3090540869387749,0.4200672901615005
PF13489.13,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF00011.28,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF13561.13,93,3,1.5195767195767196,0.32442582556525074,0.4294636932540854
PF12756.14,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF00059.28,54,2,1.7522043174217088,0.3249713104672033,0.4294636932540854
PF09011.17,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF01423.29,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF00248.28,18,1,2.67739694302918,0.3245822762265119,0.4294636932540854
PF01433.27,19,1,2.5284339457567806,0.33915963717126335,0.4425225742139341
PF00782.26,19,1,2.5284339457567806,0.33915963717126335,0.4425225742139341
PF00106.32,95,3,1.4862836438923395,0.3362644248809422,0.4425225742139341
PF01757.29,19,1,2.5284339457567806,0.33915963717126335,0.4425225742139341
PF00536.38,20,1,2.3951512639867385,0.35342358608960833,0.4582242709237509
PF00621.26,20,1,2.3951512639867385,0.35342358608960833,0.4582242709237509
PF00505.26,21,1,2.275196850393701,0.36738083535289046,0.4733339289342883
PF18452.8,21,1,2.275196850393701,0.36738083535289046,0.4733339289342883
PF16656.12,23,1,2.068002863278454,0.39440137142632276,0.5049811951907123
PF00646.39,23,1,2.068002863278454,0.39440137142632276,0.5049811951907123
PF03109.23,24,1,1.9779185210544334,0.40747737907122394,0.51849288792035
PF04101.23,24,1,1.9779185210544334,0.40747737907122394,0.51849288792035
PF25048.2,65,2,1.4448836187966623,0.410292377225862,0.5204634785179916
PF00008.34,25,1,1.8953412073490814,0.42027213462519497,0.5298522924262428
PF00307.37,25,1,1.8953412073490814,0.42027213462519497,0.5298522924262428
PF00078.33,26,1,1.8193700787401574,0.4327916642382178,0.5357752228973118
PF13847.13,26,1,1.8193700787401574,0.4327916642382178,0.5357752228973118
PF13716.12,26,1,1.8193700787401574,0.4327916642382178,0.5357752228973118
PF23609.2,68,2,1.3788477661995449,0.43267804892297634,0.5357752228973118
PF00702.33,26,1,1.8193700787401574,0.4327916642382178,0.5357752228973118
PF00664.29,26,1,1.8193700787401574,0.4327916642382178,0.5357752228973118
PF13649.13,28,1,1.684310294546515,0.4570285098870577,0.560712589742032
PF13365.13,28,1,1.684310294546515,0.4570285098870577,0.560712589742032
PF01636.30,28,1,1.684310294546515,0.4570285098870577,0.560712589742032
PF23419.3,29,1,1.624015748031496,0.46875724601402086,0.5683163071143439
PF23761.2,29,1,1.624015748031496,0.46875724601402086,0.5683163071143439
PF14531.13,29,1,1.624015748031496,0.46875724601402086,0.5683163071143439
PF12937.13,29,1,1.624015748031496,0.46875724601402086,0.5683163071143439
PF01073.26,30,1,1.5678794461037198,0.4802336016787471,0.5788152794427128
PF13516.13,30,1,1.5678794461037198,0.4802336016787471,0.5788152794427128
PF23798.2,31,1,1.515485564304462,0.4914629867140702,0.5854819928680662
PF07914.18,31,1,1.515485564304462,0.4914629867140702,0.5854819928680662
PF13857.13,76,2,1.2289285332763593,0.49004205686650837,0.5854819928680662
PF00232.25,31,1,1.515485564304462,0.4914629867140702,0.5854819928680662
PF02958.27,32,1,1.4664719329438658,0.5024506954403801,0.5968417220404516
PF24521.3,33,1,1.4205216535433072,0.5132019091225007,0.6078558635427891
PF00560.40,80,2,1.1655011655011656,0.5173353869323666,0.6092402407713544
PF13606.13,80,2,1.1655011655011656,0.5173353869323666,0.6092402407713544
PF00168.37,34,1,1.377356239560964,0.5237216983745144,0.6149989086626442
PF10545.16,82,2,1.1361660079051383,0.5306151379474789,0.6213185803316634
PF08659.17,84,2,1.1082618336064785,0.543645115638839,0.6329692422877135
PF13637.13,84,2,1.1082618336064785,0.543645115638839,0.6329692422877135
PF00023.37,88,2,1.0563470907252506,0.5689448001354827,0.6605545560895011
PF00201.25,39,1,1.1956071280563614,0.5730192965598393,0.6615475586688032
PF06722.19,39,1,1.1956071280563614,0.5730192965598393,0.6615475586688032
PF12796.14,91,2,1.0204734200826042,0.5872471852967639,0.6760744906357702
PF13833.13,41,1,1.1356299212598424,0.5912840988118756,0.6769297064392225
PF24017.3,41,1,1.1356299212598424,0.5912840988118756,0.6769297064392225
PF02463.26,42,1,1.1078356059151142,0.6001225108541901,0.6851398665585337
PF23775.2,94,2,0.9869393366557828,0.6049698205521057,0.6868580006820868
PF24782.3,94,2,0.9869393366557828,0.6049698205521057,0.6868580006820868
PF13306.13,43,1,1.0813648293963254,0.608770527115083,0.6873755127590634
PF14604.13,43,1,1.0813648293963254,0.608770527115083,0.6873755127590634
PF23410.5,44,1,1.0561252517853872,0.6172322332716264,0.6931214422804328
PF23756.2,44,1,1.0561252517853872,0.6172322332716264,0.6931214422804328
PF01926.30,46,1,1.0090113735783026,0.6336126231652899,0.7076488807634079
PF25178.1,46,1,1.0090113735783026,0.6336126231652899,0.7076488807634079
PF00561.27,47,1,0.9869907565902089,0.6415390489812609,0.7145597537433557
PF12894.14,101,2,0.9165967980197229,0.6440713834297352,0.7154414556476248
PF13855.13,104,2,0.8894055645973804,0.6598727987390504,0.7251543323041436
PF24105.2,104,2,0.8894055645973804,0.6598727987390504,0.7251543323041436
PF23342.2,49,1,0.9457020997375328,0.6568831007870284,0.7251543323041436
PF00018.35,49,1,0.9457020997375328,0.6568831007870284,0.7251543323041436
PF20426.5,50,1,0.9263217097862767,0.6643079827710159,0.7280815491170334
PF14580.13,53,1,0.8726529376135675,0.6856359769639713,0.7454930860640006
